timestamp,temperature,humidity
2025-11-09 06:32:48,25,86
2025-11-09 06:32:49,25,31
2025-11-09 06:32:50,23,50
2025-11-09 06:32:51,29,53
2025-11-09 06:32:52,33,75
2025-11-09 06:32:53,27,66
2025-11-09 06:32:54,31,54
2025-11-09 06:32:55,23,64
2025-11-09 06:32:56,26,77
2025-11-09 06:32:57,28,57
2025-11-09 06:32:58,29,75
2025-11-09 06:32:59,24,52
2025-11-09 06:33:00,20,74
2025-11-09 06:33:01,30,36
2025-11-09 06:33:02,28,59
2025-11-09 06:33:03,19,34
2025-11-09 06:33:04,28,57
2025-11-09 06:33:05,19,50
2025-11-09 06:33:06,21,48
2025-11-09 06:33:07,29,33
2025-11-09 06:33:08,22,63
2025-11-09 06:33:09,24,30
2025-11-09 06:33:10,33,57
2025-11-09 06:33:11,30,72
2025-11-09 06:33:12,33,66
2025-11-09 06:33:13,32,36
2025-11-09 06:33:14,32,78
2025-11-09 06:33:15,21,54
2025-11-09 06:33:16,25,63
2025-11-09 06:33:17,19,63
2025-11-09 06:33:18,30,32
2025-11-09 06:33:19,22,30
2025-11-09 06:33:20,28,69
2025-11-09 06:33:21,29,74
2025-11-09 06:33:22,26,88
2025-11-09 06:33:23,34,66
2025-11-09 06:33:24,25,69
2025-11-09 06:33:25,29,50
2025-11-09 06:33:26,32,38
2025-11-09 06:33:27,22,49
2025-11-09 06:33:28,18,72
2025-11-09 06:33:29,23,54
2025-11-09 06:33:30,27,43
2025-11-09 06:33:31,23,69
2025-11-09 06:33:32,27,70
2025-11-09 06:33:33,29,56
2025-11-09 06:33:34,24,70
2025-11-09 06:33:35,34,59
2025-11-09 06:33:36,25,74
2025-11-09 06:33:37,18,50
2025-11-09 06:33:38,26,55
2025-11-09 06:33:39,20,45
2025-11-09 06:33:40,31,89
2025-11-09 06:33:41,21,30
2025-11-09 06:33:42,20,41
2025-11-09 06:33:43,23,32
2025-11-09 06:33:44,32,80
2025-11-09 06:33:45,27,49
2025-11-09 06:33:46,32,82
2025-11-09 06:33:47,20,69
2025-11-09 06:33:48,20,51
2025-11-09 06:33:49,34,60
2025-11-09 06:33:50,28,85
2025-11-09 06:33:51,20,63
2025-11-09 06:33:52,23,31
2025-11-09 06:33:53,32,37
2025-11-09 06:33:54,31,48
2025-11-09 06:33:55,28,77
2025-11-09 06:33:56,32,81
2025-11-09 06:33:57,32,41
2025-11-09 06:33:58,33,87
2025-11-09 06:33:59,23,42
2025-11-09 06:34:00,33,75
2025-11-09 06:34:01,30,32
2025-11-09 06:34:02,29,39
2025-11-09 06:34:03,33,78
2025-11-09 06:34:04,28,59
2025-11-09 06:34:05,22,39
2025-11-09 06:34:06,33,87
2025-11-09 06:34:07,18,39
2025-11-09 06:34:08,33,45
2025-11-09 06:34:09,31,78
2025-11-09 06:34:10,29,77
2025-11-09 06:34:11,24,73
2025-11-09 06:34:12,32,34
2025-11-09 06:34:13,31,63
2025-11-09 06:34:14,18,31
2025-11-09 06:34:15,34,44
2025-11-09 06:34:16,32,80
2025-11-09 06:34:17,19,86
2025-11-09 06:34:18,21,61
2025-11-09 06:34:19,24,49
2025-11-09 06:34:20,26,65
2025-11-09 06:34:21,18,82
2025-11-09 06:34:22,31,47
