timestamp,temperature,humidity
2025-10-11 23:03:00,20,50
2025-10-11 23:03:02,21,52
2025-10-11 23:03:04,20,51
2025-10-11 23:03:06,22,52
2025-10-11 23:03:08,22,53
2025-10-11 23:03:10,23,55
2025-10-11 23:03:12,25,56
2025-10-11 23:03:14,25,55
2025-10-11 23:03:16,26,54
2025-10-11 23:03:18,28,54
2025-10-11 23:03:20,29,56
2025-10-11 23:03:22,31,57
2025-10-11 23:03:24,31,58
2025-10-11 23:03:26,30,58
2025-10-11 23:03:28,30,58
2025-10-11 23:03:30,32,59
2025-10-11 23:03:32,33,61
2025-10-11 23:03:34,35,61
2025-10-11 23:03:36,34,62
2025-10-11 23:03:38,36,62
2025-10-11 23:03:40,37,61
2025-10-11 23:03:42,39,62
2025-10-11 23:03:44,41,63
2025-10-11 23:03:46,40,64
2025-10-11 23:03:48,39,64
2025-10-11 23:03:50,39,63
2025-10-11 23:03:52,39,63
2025-10-11 23:03:54,39,63
2025-10-11 23:03:56,39,64
2025-10-11 23:03:58,38,65
2025-10-11 23:04:00,40,64
2025-10-11 23:04:02,42,63
2025-10-11 23:04:04,41,64
2025-10-11 23:04:06,41,66
2025-10-11 23:04:08,42,68
2025-10-11 23:04:10,42,69
2025-10-11 23:04:12,42,69
2025-10-11 23:04:14,43,69
