timestamp,topic,payload
2025-10-05 00:07:13,sensors/manual,33.3
2025-11-12 17:39:13,sensors/manual,yea ya ya
2025-11-12 17:39:46,sensors/manual,kmkm
2025-11-12 17:39:46,sensors/manual,kmkm
2025-11-12 17:46:52,sensors/manual,5454
2025-11-12 17:46:52,sensors/manual,5454
2025-11-12 17:46:52,sensors/manual,5454
2025-11-12 17:46:52,sensors/manual,5454
2025-11-12 17:47:18,sensors/manual,fasdf
2025-11-12 17:47:32,sensors/manual,adf
2025-11-14 06:25:19,sensors/manual,je me souviens de toi et de ce qu’on a construit ensemble.
2025-11-14 09:19:46,sensors/manual,adfadfaf
2025-11-14 09:21:09,sensors/manual,adfadfaf
2025-11-14 09:29:33,sensors/manual,6354654
2025-11-14 09:31:01,sensors/manual,25554
